Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time (s)
Random Forest,0.9927797833935018,1.0,0.9790575916230366,0.9894179894179894,0.9996826907821672,23.12600302696228
Decision Tree,0.9909747292418772,0.984375,0.9895287958115183,0.9869451697127938,0.9906321665008005,1.0445311069488525
XGBoost,0.9927797833935018,0.9895287958115183,0.9895287958115183,0.9895287958115183,0.9992932658330088,22.36824870109558
